survey_id,species_name,scientific_name,family,iucn_status,count
1170,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1170,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1170,Pelatuk Besi,Dinopium javanense,NA,Least concern,1
1170,Pijantung Gunung,Arachnothera affinis,NA,Least concern,1
1170,Punai Penganten,Treron griseicauda,NA,Least concern,1
1170,Sepah Hutan,Pericrocotus flammeus,NA,Least concern,1
1170,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1279,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1279,Elang Ular Bido,Spilornis cheela,NA,Least concern,1
1279,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1279,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1279,Takur Tohtor,Psilopogon armillaris,NA,Least concern,1
1279,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,2
1395,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1395,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1395,Merbah Belukar,Pycnonotus plumosus,NA,Least concern,1
1395,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1395,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1509,Cabai Jawa,Dicaeum trochileum,NA,Least concern,1
1509,Cekakak Batu,Lacedo pulchella,NA,Least concern,1
1509,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1509,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1509,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1509,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1509,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1509,Sepah Hutan,Pericrocotus flammeus,NA,Least concern,1
1509,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1509,Takur Ungkut Ungkut,Psilopogon haemacephalus,NA,Least concern,1
1510,Codot krawar,Cynopterus brachyotis,NA,Least concern,1
1068,Bubut Besar,Centropus sinensis,NA,Least concern,1
1068,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1068,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1068,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1068,Sepah Hutan,Pericrocotus flammeus,NA,Least concern,1
1068,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1280,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1280,Kedasi Ungu,Chrysococcyx xanthorhynchus,NA,Least concern,1
1280,Sepah Hutan,Pericrocotus flammeus,NA,Least concern,2
1280,Takur Tohtor,Psilopogon armillaris,NA,Least concern,1
1396,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1396,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1396,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1396,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1396,Kadalan Birah,Phaenicophaeus curvirostris,NA,Least concern,1
1396,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1396,Sepah Hutan,Pericrocotus flammeus,NA,Least concern,1
1396,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1511,Burung Madu Kelapa,Anthreptes malacensis,NA,Least concern,1
1511,Cinenen Kelabu,Orthotomus ruficeps,NA,Least concern,1
1511,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1511,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1511,Kadalan Birah,Phaenicophaeus curvirostris,NA,Least concern,1
1511,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1511,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1511,Sempur Hujan Rimba,Eurylaimus javanicus,NA,Least concern,1
1511,Sepah Hutan,Pericrocotus flammeus,NA,Least concern,1
1511,Serindit Jawa,Loriculus pusillus,NA,Near Threatened,1
1511,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1511,Tepekong Jambul,Hemiprocne longipennis,NA,Least concern,1
1511,Walet Linci,Collocalia linchi,NA,Least concern,1
1281,Bajing Terbang Jawa,Iomys horsfieldii,NA,Least concern,1
1512,Kukang Jawa,Nycticebus javanicus,NA,Critically endangered,1
1069,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1069,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1069,Delimukan Zamrud,Chalcophaps indica,NA,Least concern,1
1069,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1069,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1069,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1069,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1069,Tepekong Jambul,Hemiprocne longipennis,NA,Least concern,1
1171,Udang Api,Ceyx rufidorsa,NA,Least concern,1
1282,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1282,Delimukan Zamrud,Chalcophaps indica,NA,Least concern,1
1282,Sepah Hutan,Pericrocotus flammeus,NA,Least concern,1
1282,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1397,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1397,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1397,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1397,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1397,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1513,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1513,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1513,Jingjing Petulak,Tephrodornis virgatus,NA,Least concern,1
1513,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1513,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1513,Takur Ungkut Ungkut,Psilopogon haemacephalus,NA,Least concern,1
1513,Tepekong Jambul,Hemiprocne longipennis,NA,Least concern,1
1513,Walet Linci,Collocalia linchi,NA,Least concern,1
1283,Bajing kelapa,Callosciurus notatus,NA,Least concern,1
1070,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1070,Kehicap Ranting,Hypothymis azurea,NA,Least concern,1
1070,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1070,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1070,Takur Ungkut Ungkut,Psilopogon haemacephalus,NA,Least concern,1
1070,Walik Kembang,Ptilinopus melanospilus,NA,Least concern,1
1172,Celepuk Reban,Otus lempiji,NA,Least concern,1
1172,Kadalan Birah,Phaenicophaeus curvirostris,NA,Least concern,1
1172,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1284,Alap Alap Capung,Microhierax fringillarius,NA,Least concern,1
1284,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1284,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1398,Cabai Jawa,Dicaeum trochileum,NA,Least concern,1
1398,Elang Ular Bido,Spilornis cheela,NA,Least concern,1
1398,Kadalan Birah,Phaenicophaeus curvirostris,NA,Least concern,1
1398,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1398,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1398,Takur Ungkut Ungkut,Psilopogon haemacephalus,NA,Least concern,1
1514,Burung Madu Kelapa,Anthreptes malacensis,NA,Least concern,1
1514,Burung Madu Sriganti,Cinnyris ornatus,NA,Least concern,1
1514,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1514,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1514,Sepah Hutan,Pericrocotus flammeus,NA,Least concern,1
1514,Serindit Jawa,Loriculus pusillus,NA,Near Threatened,1
1514,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1514,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1514,Tepekong Jambul,Hemiprocne longipennis,NA,Least concern,1
1071,Luwak,Paradoxurus hermaphroditus,NA,Least concern,1
1399,Walang kopo/tupai terbang,Petaurus breviceps,NA,Least concern,1
1515,Bajing Terbang Jawa,Iomys horsfieldii,NA,Least concern,1
1072,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1072,Pelanduk Topi Jawa,Pellorneum capistratum,NA,Least concern,1
1072,Sepah Kecil,Pericrocotus cinnamomeus,NA,Least concern,1
1072,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1072,Wiwik Kelabu,Cacomantis merulinus,NA,Least concern,1
1173,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1173,Cekakak Jawa,Halcyon cyanoventris,NA,Least concern,1
1173,Pelanduk Topi Jawa,Pellorneum capistratum,NA,Least concern,1
1173,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1285,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,2
1285,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1400,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1400,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1400,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1400,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1516,Ayam Hutan Hijau,Gallus varius,NA,Least concern,1
1516,Burung Madu Kelapa,Anthreptes malacensis,NA,Least concern,1
1516,Burung Madu Sriganti,Cinnyris ornatus,NA,Least concern,1
1516,Cekakak Sungai,Todiramphus chloris,NA,Least concern,1
1516,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1516,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1516,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1516,Elang Ular Bido,Spilornis cheela,NA,Least concern,1
1516,Kadalan Kembang,Phaenicophaeus javanicus,NA,Least concern,1
1516,Kedasi Hitam,Surniculus lugubris,NA,Least concern,1
1516,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1516,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,2
1516,Pelanduk Semak,Malacocincla sepiaria,NA,Least concern,1
1516,Sepah Kecil,Pericrocotus cinnamomeus,NA,Least concern,1
1516,Serindit Jawa,Loriculus pusillus,NA,Near Threatened,1
1516,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1516,Walet Linci,Collocalia linchi,NA,Least concern,1
1286,Bajing Terbang Jawa,Iomys horsfieldii,NA,Least concern,1
1073,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1073,Cekakak Sungai,Todiramphus chloris,NA,Least concern,1
1073,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1073,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1073,Delimukan Zamrud,Chalcophaps indica,NA,Least concern,1
1073,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1073,Kadalan Birah,Phaenicophaeus curvirostris,NA,Least concern,1
1073,Kedasi Ungu,Chrysococcyx xanthorhynchus,NA,Least concern,1
1073,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1073,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1073,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,1
1073,Sepah Kecil,Pericrocotus cinnamomeus,NA,Least concern,1
1073,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1073,Takur Ungkut Ungkut,Psilopogon haemacephalus,NA,Least concern,1
1174,Cekakak Jawa,Halcyon cyanoventris,NA,Least concern,1
1174,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1174,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1174,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1174,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
